300: ftp://mirror.csclub.uwaterloo.ca/x.org/X11R7.7/src/driver/
200: filename content-length last-modified file-type
201: "CHECKSUMS" 22264 Sun%2C%2006%20Jun%202012%2000%3A00%3A00 FILE 
201: "xf86-input-evdev-2.7.0.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-evdev-2.7.0.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-joystick-1.6.1.tar.bz2" 60 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-joystick-1.6.1.tar.gz" 59 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-keyboard-1.6.1.tar.bz2" 60 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-keyboard-1.6.1.tar.gz" 59 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-mouse-1.7.2.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-mouse-1.7.2.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-synaptics-1.6.1.tar.bz2" 61 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-synaptics-1.6.1.tar.gz" 60 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-vmmouse-12.8.0.tar.bz2" 60 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-vmmouse-12.8.0.tar.gz" 59 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-void-1.4.0.tar.bz2" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-input-void-1.4.0.tar.gz" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-ark-0.7.4.tar.bz2" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-ark-0.7.4.tar.gz" 54 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-ast-0.93.10.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-ast-0.93.10.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-ati-6.14.4.tar.bz2" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-ati-6.14.4.tar.gz" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-cirrus-1.4.0.tar.bz2" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-cirrus-1.4.0.tar.gz" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-dummy-0.3.5.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-dummy-0.3.5.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-fbdev-0.4.2.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-fbdev-0.4.2.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-geode-2.11.13.tar.bz2" 59 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-geode-2.11.13.tar.gz" 58 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-glide-1.2.0.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-glide-1.2.0.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-glint-1.2.7.tar.bz2" 57 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-glint-1.2.7.tar.gz" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-i128-1.3.5.tar.bz2" 56 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "xf86-video-i128-1.3.5.tar.gz" 55 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
