300: ftp://mirror.csclub.uwaterloo.ca/x.org/X11R7.7/src/lib/
200: filename content-length last-modified file-type
201: "CHECKSUMS" 18100 Sun%2C%2006%20Jun%202012%2000%3A00%3A00 FILE 
201: "libAppleWM-1.4.1.tar.bz2" 48 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libAppleWM-1.4.1.tar.gz" 47 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libFS-1.0.4.tar.bz2" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libFS-1.0.4.tar.gz" 42 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libICE-1.0.8.tar.bz2" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libICE-1.0.8.tar.gz" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libSM-1.2.1.tar.bz2" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libSM-1.2.1.tar.gz" 42 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libWindowsWM-1.0.1.tar.bz2" 50 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libWindowsWM-1.0.1.tar.gz" 49 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libX11-1.5.0.tar.bz2" 44 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libX11-1.5.0.tar.gz" 43 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
201: "libXScrnSaver-1.2.2.tar.bz2" 51 Sun%2C%2019%20Dec%202013%2000%3A00%3A00 SYMBOLIC-LINK 
